method,hit_rate_1,hit_rate_3,hit_rate_5,mrr_5
BM25,0.8556962025316456,0.9746835443037974,0.9848101265822785,0.9128270042194093
Vector Search,0.9113924050632911,1.0,1.0,0.950632911392405
